x,kt2,mu2,time_per_call_ns
0.2,5000,500,940
0.2,5000,1000,883
0.2,5000,2000,2397
0.2,5000,5000,979
0.3,1,4,972
0.3,1,5,985
0.3,1,10,944
0.3,1,20,1093
0.3,1,50,992
0.3,1,100,914
0.3,1,200,1021
0.3,1,500,1028
0.3,1,1000,1032
0.3,1,2000,1028
0.3,1,5000,1015
0.3,2,4,880
0.3,2,5,947
0.3,2,10,1016
0.3,2,20,1145
0.3,2,50,954
0.3,2,100,861
0.3,2,200,1033
0.3,2,500,29642
0.3,2,1000,874
0.3,2,2000,981
0.3,2,5000,998
0.3,5,4,975
0.3,5,5,1132
0.3,5,10,978
0.3,5,20,1042
0.3,5,50,1017
0.3,5,100,910
0.3,5,200,1055
0.3,5,500,1004
0.3,5,1000,941
0.3,5,2000,1023
0.3,5,5000,1067
0.3,10,4,935
0.3,10,5,963
0.3,10,10,929
0.3,10,20,999
0.3,10,50,958
0.3,10,100,956
0.3,10,200,1200
0.3,10,500,1021
0.3,10,1000,885
0.3,10,2000,1136
0.3,10,5000,1025
0.3,20,4,948
0.3,20,5,977
0.3,20,10,905
0.3,20,20,1056
0.3,20,50,992
0.3,20,100,905
0.3,20,200,1014
0.3,20,500,990
0.3,20,1000,975
0.3,20,2000,1134
0.3,20,5000,1011
0.3,50,4,1044
0.3,50,5,994
0.3,50,10,961
0.3,50,20,1027
0.3,50,50,1018
0.3,50,100,902
0.3,50,200,1020
0.3,50,500,1107
0.3,50,1000,991
0.3,50,2000,1056
0.3,50,5000,1310
0.3,100,4,979
0.3,100,5,1118
0.3,100,10,913
0.3,100,20,1003
0.3,100,50,976
0.3,100,100,879
0.3,100,200,1024
0.3,100,500,975
0.3,100,1000,918
0.3,100,2000,1003
0.3,100,5000,1060
0.3,200,4,1036
0.3,200,5,956
0.3,200,10,902
0.3,200,20,1041
0.3,200,50,1031
0.3,200,100,1000
0.3,200,200,1060
0.3,200,500,999
0.3,200,1000,960
0.3,200,2000,1058
0.3,200,5000,1032
0.3,500,4,949
0.3,500,5,969
0.3,500,10,1072
0.3,500,20,1232
0.3,500,50,1054
0.3,500,100,889
0.3,500,200,1109
0.3,500,500,965
0.3,500,1000,930
0.3,500,2000,1123
0.3,500,5000,1018
0.3,1000,4,993
0.3,1000,5,973
0.3,1000,10,958
0.3,1000,20,1041
0.3,1000,50,1005
0.3,1000,100,922
0.3,1000,200,1038
0.3,1000,500,1016
0.3,1000,1000,994
0.3,1000,2000,1043
0.3,1000,5000,1042
0.3,2000,4,887
0.3,2000,5,923
0.3,2000,10,1076
0.3,2000,20,963
0.3,2000,50,939
0.3,2000,100,843
0.3,2000,200,1209
0.3,2000,500,997
0.3,2000,1000,862
0.3,2000,2000,971
0.3,2000,5000,970
0.3,5000,4,965
0.3,5000,5,1029
0.3,5000,10,944
0.3,5000,20,1018
0.3,5000,50,998
0.3,5000,100,1118
0.3,5000,200,1165
0.3,5000,500,1006
0.3,5000,1000,932
0.3,5000,2000,1050
0.3,5000,5000,1041
0.4,1,4,1030
0.4,1,5,1064
0.4,1,10,1019
0.4,1,20,1072
0.4,1,50,1110
0.4,1,100,937
0.4,1,200,1089
0.4,1,500,1059
0.4,1,1000,993
0.4,1,2000,1605
0.4,1,5000,1118
0.4,2,4,949
0.4,2,5,1025
0.4,2,10,934
0.4,2,20,1031
0.4,2,50,1140
0.4,2,100,912
0.4,2,200,1014
0.4,2,500,1010
0.4,2,1000,955
0.4,2,2000,1035
0.4,2,5000,1027
0.4,5,4,1021
0.4,5,5,1048
0.4,5,10,1058
0.4,5,20,1109
0.4,5,50,1105
0.4,5,100,1014
0.4,5,200,1107
0.4,5,500,1075
0.4,5,1000,1035
0.4,5,2000,1141
0.4,5,5000,1134
0.4,10,4,1013
0.4,10,5,1289
0.4,10,10,962
0.4,10,20,1212
0.4,10,50,1001
0.4,10,100,943
0.4,10,200,1048
0.4,10,500,1028
0.4,10,1000,969
0.4,10,2000,1067
0.4,10,5000,1033
0.4,20,4,984
0.4,20,5,1033
0.4,20,10,1017
0.4,20,20,1086
0.4,20,50,1052
0.4,20,100,946
0.4,20,200,1140
0.4,20,500,1097
0.4,20,1000,970
0.4,20,2000,1081
0.4,20,5000,1077
0.4,50,4,1027
0.4,50,5,1064
0.4,50,10,1000
0.4,50,20,1389
0.4,50,50,1218
0.4,50,100,1052
0.4,50,200,1378
0.4,50,500,1068
0.4,50,1000,1009
0.4,50,2000,1244
0.4,50,5000,1102
0.4,100,4,970
0.4,100,5,1017
0.4,100,10,1007
0.4,100,20,1076
0.4,100,50,1020
0.4,100,100,928
0.4,100,200,1060
0.4,100,500,1076
0.4,100,1000,988
0.4,100,2000,1064
0.4,100,5000,1093
0.4,200,4,1015
0.4,200,5,1112
0.4,200,10,995
0.4,200,20,1057
0.4,200,50,1061
0.4,200,100,1267
0.4,200,200,1110
0.4,200,500,1077
0.4,200,1000,1006
0.4,200,2000,1074
0.4,200,5000,1106
0.4,500,4,1011
0.4,500,5,1038
0.4,500,10,965
0.4,500,20,1063
0.4,500,50,1135
