x,kt2,mu2,time_per_call_ns
0.3,2,20,901
0.3,2,50,759
0.3,2,100,702
0.3,2,200,813
0.3,2,500,740
0.3,2,1000,742
0.3,2,2000,850
0.3,2,5000,802
0.3,5,4,876
0.3,5,5,893
0.3,5,10,798
0.3,5,20,856
0.3,5,50,833
0.3,5,100,764
0.3,5,200,893
0.3,5,500,834
0.3,5,1000,807
0.3,5,2000,996
0.3,5,5000,1088
0.3,10,4,774
0.3,10,5,812
0.3,10,10,774
0.3,10,20,809
0.3,10,50,812
0.3,10,100,862
0.3,10,200,835
0.3,10,500,793
0.3,10,1000,740
0.3,10,2000,816
0.3,10,5000,782
0.3,20,4,786
0.3,20,5,829
0.3,20,10,793
0.3,20,20,839
0.3,20,50,829
0.3,20,100,754
0.3,20,200,881
0.3,20,500,815
0.3,20,1000,775
0.3,20,2000,874
0.3,20,5000,854
0.3,50,4,816
0.3,50,5,998
0.3,50,10,830
0.3,50,20,859
0.3,50,50,868
0.3,50,100,751
0.3,50,200,902
0.3,50,500,1146
0.3,50,1000,820
0.3,50,2000,879
0.3,50,5000,882
0.3,100,4,785
0.3,100,5,926
0.3,100,10,767
0.3,100,20,825
0.3,100,50,853
0.3,100,100,756
0.3,100,200,823
0.3,100,500,814
0.3,100,1000,855
0.3,100,2000,818
0.3,100,5000,853
0.3,200,4,821
0.3,200,5,847
0.3,200,10,770
0.3,200,20,865
0.3,200,50,842
0.3,200,100,752
0.3,200,200,853
0.3,200,500,815
0.3,200,1000,813
0.3,200,2000,881
0.3,200,5000,870
0.3,500,4,789
0.3,500,5,789
0.3,500,10,758
0.3,500,20,911
0.3,500,50,1039
0.3,500,100,921
0.3,500,200,830
0.3,500,500,833
0.3,500,1000,757
0.3,500,2000,850
0.3,500,5000,850
0.3,1000,4,804
0.3,1000,5,841
0.3,1000,10,781
0.3,1000,20,868
0.3,1000,50,2324
0.3,1000,100,738
0.3,1000,200,889
0.3,1000,500,826
0.3,1000,1000,806
0.3,1000,2000,1011
0.3,1000,5000,915
0.3,2000,4,754
0.3,2000,5,755
0.3,2000,10,753
0.3,2000,20,785
0.3,2000,50,755
0.3,2000,100,680
0.3,2000,200,783
0.3,2000,500,749
0.3,2000,1000,711
0.3,2000,2000,785
0.3,2000,5000,793
0.3,5000,4,903
0.3,5000,5,1171
0.3,5000,10,785
0.3,5000,20,896
0.3,5000,50,819
0.3,5000,100,805
0.3,5000,200,913
0.3,5000,500,827
0.3,5000,1000,796
0.3,5000,2000,860
0.3,5000,5000,851
0.4,1,4,872
0.4,1,5,910
0.4,1,10,854
0.4,1,20,920
0.4,1,50,918
0.4,1,100,799
0.4,1,200,1016
0.4,1,500,899
0.4,1,1000,856
0.4,1,2000,938
0.4,1,5000,916
0.4,2,4,869
0.4,2,5,888
0.4,2,10,772
0.4,2,20,854
0.4,2,50,845
0.4,2,100,756
0.4,2,200,942
0.4,2,500,867
0.4,2,1000,883
0.4,2,2000,1010
0.4,2,5000,863
0.4,5,4,851
0.4,5,5,971
0.4,5,10,842
0.4,5,20,919
0.4,5,50,896
0.4,5,100,831
0.4,5,200,959
0.4,5,500,939
0.4,5,1000,844
0.4,5,2000,934
0.4,5,5000,911
0.4,10,4,832
0.4,10,5,848
0.4,10,10,814
0.4,10,20,874
0.4,10,50,850
0.4,10,100,771
0.4,10,200,871
0.4,10,500,960
0.4,10,1000,793
0.4,10,2000,871
0.4,10,5000,930
0.4,20,4,839
0.4,20,5,919
0.4,20,10,894
0.4,20,20,933
0.4,20,50,1147
0.4,20,100,859
0.4,20,200,909
0.4,20,500,875
0.4,20,1000,860
0.4,20,2000,904
0.4,20,5000,905
0.4,50,4,852
0.4,50,5,970
0.4,50,10,830
0.4,50,20,940
0.4,50,50,910
0.4,50,100,824
0.4,50,200,915
0.4,50,500,1015
0.4,50,1000,864
0.4,50,2000,952
0.4,50,5000,956
0.4,100,4,861
0.4,100,5,868
0.4,100,10,816
0.4,100,20,893
0.4,100,50,866
0.4,100,100,810
0.4,100,200,892
0.4,100,500,933
0.4,100,1000,810
0.4,100,2000,891
0.4,100,5000,931
0.4,200,4,31207
0.4,200,5,1042
0.4,200,10,850
0.4,200,20,927
0.4,200,50,884
0.4,200,100,797
0.4,200,200,929
0.4,200,500,932
0.4,200,1000,835
0.4,200,2000,955
0.4,200,5000,940
0.4,500,4,845
0.4,500,5,911
0.4,500,10,813
0.4,500,20,884
0.4,500,50,885
0.4,500,100,786
0.4,500,200,897
0.4,500,500,992
0.4,500,1000,823
0.4,500,2000,949
0.4,500,5000,925
0.4,1000,4,889
0.4,1000,5,896
0.4,1000,10,832
0.4,1000,20,929
0.4,1000,50,890
0.4,1000,100,840
0.4,1000,200,1209
0.4,1000,500,1031
0.4,1000,1000,846
0.4,1000,2000,958
0.4,1000,5000,951
0.4,2000,4,792
0.4,2000,5,875
0.4,2000,10,839
0.4,2000,20,832
0.4,2000,50,852
0.4,2000,100,737
0.4,2000,200,851
0.4,2000,500,805
0.4,2000,1000,776
0.4,2000,2000,906
0.4,2000,5000,850
0.4,5000,4,887
0.4,5000,5,898
0.4,5000,10,895
0.4,5000,20,928
0.4,5000,50,924
0.4,5000,100,863
0.4,5000,200,941
0.4,5000,500,980
0.4,5000,1000,901
0.4,5000,2000,897
0.4,5000,5000,923
0.5,1,4,879
0.5,1,5,919
0.5,1,10,1189
0.5,1,20,931
0.5,1,50,914
0.5,1,100,793
0.5,1,200,928
0.5,1,500,1060
0.5,1,1000,1014
0.5,1,2000,918
0.5,1,5000,916
0.5,2,4,791
0.5,2,5,843
0.5,2,10,787
0.5,2,20,865
0.5,2,50,840
0.5,2,100,742
0.5,2,200,944
0.5,2,500,789
0.5,2,1000,795
0.5,2,2000,938
0.5,2,5000,865
0.5,5,4,880
0.5,5,5,904
0.5,5,10,820
0.5,5,20,946
0.5,5,50,1066
0.5,5,100,801
0.5,5,200,920
0.5,5,500,887
0.5,5,1000,902
0.5,5,2000,1094
0.5,5,5000,947
0.5,10,4,847
0.5,10,5,886
0.5,10,10,820
0.5,10,20,920
0.5,10,50,884
0.5,10,100,783
0.5,10,200,898
0.5,10,500,842
0.5,10,1000,794
0.5,10,2000,937
0.5,10,5000,889
0.5,20,4,914
0.5,20,5,895
0.5,20,10,817
0.5,20,20,912
0.5,20,50,881
0.5,20,100,801
0.5,20,200,910
0.5,20,500,877
0.5,20,1000,810
0.5,20,2000,914
0.5,20,5000,960
0.5,50,4,886
0.5,50,5,980
0.5,50,10,856
0.5,50,20,932
0.5,50,50,1344
0.5,50,100,939
0.5,50,200,933
0.5,50,500,904
0.5,50,1000,834
0.5,50,2000,943
0.5,50,5000,946
0.5,100,4,842
0.5,100,5,848
0.5,100,10,795
0.5,100,20,886
0.5,100,50,954
0.5,100,100,793
0.5,100,200,880
0.5,100,500,878
0.5,100,1000,811
0.5,100,2000,926
0.5,100,5000,1008
0.5,200,4,840
0.5,200,5,898
0.5,200,10,840
0.5,200,20,909
0.5,200,50,886
0.5,200,100,831
0.5,200,200,925
0.5,200,500,926
0.5,200,1000,845
0.5,200,2000,937
0.5,200,5000,951
0.5,500,4,1117
0.5,500,5,874
0.5,500,10,826
0.5,500,20,913
0.5,500,50,917
0.5,500,100,813
0.5,500,200,985
0.5,500,500,882
0.5,500,1000,827
0.5,500,2000,897
0.5,500,5000,909
0.5,1000,4,899
0.5,1000,5,908
0.5,1000,10,864
0.5,1000,20,923
0.5,1000,50,961
0.5,1000,100,822
0.5,1000,200,970
0.5,1000,500,967
0.5,1000,1000,845
0.5,1000,2000,1013
0.5,1000,5000,1023
0.5,2000,4,795
0.5,2000,5,929
0.5,2000,10,768
0.5,2000,20,838
0.5,2000,50,836
0.5,2000,100,815
0.5,2000,200,924
0.5,2000,500,1048
0.5,2000,1000,790
0.5,2000,2000,846
0.5,2000,5000,980
0.5,5000,4,860
0.5,5000,5,952
0.5,5000,10,833
0.5,5000,20,935
0.5,5000,50,1048
0.5,5000,100,852
0.5,5000,200,930
0.5,5000,500,930
0.5,5000,1000,860
0.5,5000,2000,953
0.5,5000,5000,915
0.6,1,4,866
0.6,1,5,947
0.6,1,10,834
0.6,1,20,932
0.6,1,50,960
0.6,1,100,851
0.6,1,200,920
0.6,1,500,970
0.6,1,1000,841
0.6,1,2000,1016
0.6,1,5000,966
0.6,2,4,800
0.6,2,5,884
0.6,2,10,940
0.6,2,20,908
0.6,2,50,824
0.6,2,100,732
0.6,2,200,850
0.6,2,500,841
0.6,2,1000,785
0.6,2,2000,843
0.6,2,5000,935
0.6,5,4,874
0.6,5,5,925
0.6,5,10,854
0.6,5,20,947
0.6,5,50,1064
0.6,5,100,867
0.6,5,200,934
0.6,5,500,895
0.6,5,1000,847
0.6,5,2000,949
0.6,5,5000,965
0.6,10,4,834
0.6,10,5,872
0.6,10,10,818
0.6,10,20,880
0.6,10,50,1416
0.6,10,100,1730
0.6,10,200,866
0.6,10,500,1093
0.6,10,1000,797
0.6,10,2000,1001
0.6,10,5000,901
0.6,20,4,858
0.6,20,5,881
0.6,20,10,814
0.6,20,20,916
0.6,20,50,881
0.6,20,100,858
0.6,20,200,894
0.6,20,500,872
0.6,20,1000,821
0.6,20,2000,1035
0.6,20,5000,918
0.6,50,4,882
0.6,50,5,911
0.6,50,10,859
0.6,50,20,978
0.6,50,50,982
0.6,50,100,823
0.6,50,200,928
0.6,50,500,898
0.6,50,1000,828
0.6,50,2000,927
0.6,50,5000,920
0.6,100,4,843
0.6,100,5,837
0.6,100,10,890
0.6,100,20,1198
0.6,100,50,860
0.6,100,100,778
0.6,100,200,964
0.6,100,500,864
0.6,100,1000,811
0.6,100,2000,994
0.6,100,5000,926
0.6,200,4,852
0.6,200,5,907
0.6,200,10,841
0.6,200,20,905
0.6,200,50,925
0.6,200,100,778
0.6,200,200,915
0.6,200,500,894
0.6,200,1000,836
0.6,200,2000,989
0.6,200,5000,1077
0.6,500,4,1068
0.6,500,5,1201
0.6,500,10,861
0.6,500,20,976
0.6,500,50,1134
0.6,500,100,846
0.6,500,200,922
0.6,500,500,895
0.6,500,1000,1246
0.6,500,2000,939
0.6,500,5000,924
0.6,1000,4,869
0.6,1000,5,922
0.6,1000,10,905
0.6,1000,20,915
0.6,1000,50,904
0.6,1000,100,868
0.6,1000,200,929
0.6,1000,500,889
0.6,1000,1000,979
0.6,1000,2000,917
0.6,1000,5000,939
0.6,2000,4,778
0.6,2000,5,808
0.6,2000,10,764
0.6,2000,20,828
0.6,2000,50,827
0.6,2000,100,741
0.6,2000,200,874
0.6,2000,500,788
0.6,2000,1000,757
0.6,2000,2000,876
0.6,2000,5000,860
0.6,5000,4,864
0.6,5000,5,927
0.6,5000,10,948
0.6,5000,20,1000
0.6,5000,50,1109
0.6,5000,100,812
0.6,5000,200,904
0.6,5000,500,897
0.6,5000,1000,853
0.6,5000,2000,928
0.6,5000,5000,920
0.7,1,4,890
0.7,1,5,902
0.7,1,10,843
0.7,1,20,1017
0.7,1,50,910
0.7,1,100,807
0.7,1,200,966
0.7,1,500,915
0.7,1,1000,860
0.7,1,2000,1064
0.7,1,5000,926
0.7,2,4,826
0.7,2,5,841
0.7,2,10,804
0.7,2,20,873
0.7,2,50,853
0.7,2,100,773
0.7,2,200,863
0.7,2,500,852
0.7,2,1000,780
0.7,2,2000,965
0.7,2,5000,940
0.7,5,4,1216
0.7,5,5,921
0.7,5,10,846
0.7,5,20,1024
0.7,5,50,929
0.7,5,100,850
0.7,5,200,940
0.7,5,500,912
0.7,5,1000,860
0.7,5,2000,944
0.7,5,5000,949
0.7,10,4,844
0.7,10,5,866
0.7,10,10,868
0.7,10,20,957
0.7,10,50,885
0.7,10,100,783
0.7,10,200,30015
0.7,10,500,880
0.7,10,1000,801
0.7,10,2000,980
0.7,10,5000,919
0.7,20,4,897
0.7,20,5,874
0.7,20,10,812
0.7,20,20,939
0.7,20,50,879
0.7,20,100,822
0.7,20,200,1315
0.7,20,500,885
0.7,20,1000,843
0.7,20,2000,961
0.7,20,5000,944
0.7,50,4,912
0.7,50,5,915
0.7,50,10,863
0.7,50,20,1037
0.7,50,50,922
0.7,50,100,820
0.7,50,200,934
0.7,50,500,929
0.7,50,1000,887
0.7,50,2000,962
0.7,50,5000,940
0.7,100,4,850
0.7,100,5,870
0.7,100,10,795
0.7,100,20,961
0.7,100,50,900
0.7,100,100,797
0.7,100,200,1040
0.7,100,500,878
0.7,100,1000,963
0.7,100,2000,1113
0.7,100,5000,927
0.7,200,4,942
0.7,200,5,1138
0.7,200,10,873
0.7,200,20,955
0.7,200,50,923
0.7,200,100,833
0.7,200,200,912
0.7,200,500,915
0.7,200,1000,925
0.7,200,2000,929
0.7,200,5000,979
0.7,500,4,855
0.7,500,5,889
0.7,500,10,951
0.7,500,20,924
0.7,500,50,879
0.7,500,100,802
0.7,500,200,924
0.7,500,500,881
0.7,500,1000,849
0.7,500,2000,935
0.7,500,5000,918
0.7,1000,4,883
0.7,1000,5,901
0.7,1000,10,883
0.7,1000,20,957
0.7,1000,50,916
0.7,1000,100,849
0.7,1000,200,978
0.7,1000,500,1182
0.7,1000,1000,1000
0.7,1000,2000,923
0.7,1000,5000,937
0.7,2000,4,798
0.7,2000,5,839
0.7,2000,10,757
0.7,2000,20,876
