x,kt2,mu2,time_per_call_ns
0.3,2000,4,3806
0.3,2000,5,4111
0.3,2000,10,3919
0.3,2000,20,4055
0.3,2000,50,3829
0.3,2000,100,4353
0.3,2000,200,3890
0.3,2000,500,3810
0.3,2000,1000,3823
0.3,2000,2000,3854
0.3,2000,5000,3905
0.3,5000,4,3727
0.3,5000,5,4174
0.3,5000,10,3921
0.3,5000,20,4136
0.3,5000,50,3794
0.3,5000,100,3882
0.3,5000,200,3758
0.3,5000,500,3963
0.3,5000,1000,4223
0.3,5000,2000,3929
0.3,5000,5000,3992
0.4,1,4,3725
0.4,1,5,3829
0.4,1,10,3828
0.4,1,20,4402
0.4,1,50,3825
0.4,1,100,3814
0.4,1,200,3896
0.4,1,500,3796
0.4,1,1000,3786
0.4,1,2000,4148
0.4,1,5000,4314
0.4,2,4,3919
0.4,2,5,3771
0.4,2,10,3944
0.4,2,20,3839
0.4,2,50,3878
0.4,2,100,4217
0.4,2,200,3924
0.4,2,500,3846
0.4,2,1000,4229
0.4,2,2000,3842
0.4,2,5000,4404
0.4,5,4,4312
0.4,5,5,3809
0.4,5,10,3952
0.4,5,20,3858
0.4,5,50,4073
0.4,5,100,3896
0.4,5,200,3885
0.4,5,500,4232
0.4,5,1000,3865
0.4,5,2000,3867
0.4,5,5000,3788
0.4,10,4,4030
0.4,10,5,3773
0.4,10,10,3882
0.4,10,20,4118
0.4,10,50,3913
0.4,10,100,3840
0.4,10,200,3839
0.4,10,500,3966
0.4,10,1000,4066
0.4,10,2000,4203
0.4,10,5000,3876
0.4,20,4,3720
0.4,20,5,3886
0.4,20,10,3748
0.4,20,20,3958
0.4,20,50,3774
0.4,20,100,4449
0.4,20,200,3894
0.4,20,500,3786
0.4,20,1000,33234
0.4,20,2000,3889
0.4,20,5000,5092
0.4,50,4,4228
0.4,50,5,4024
0.4,50,10,3699
0.4,50,20,3867
0.4,50,50,3848
0.4,50,100,3956
0.4,50,200,4323
0.4,50,500,3862
0.4,50,1000,3970
0.4,50,2000,3806
0.4,50,5000,3769
0.4,100,4,3683
0.4,100,5,3907
0.4,100,10,4079
0.4,100,20,3752
0.4,100,50,3780
0.4,100,100,4224
0.4,100,200,4906
0.4,100,500,3788
0.4,100,1000,4286
0.4,100,2000,4145
0.4,100,5000,3732
0.4,200,4,3990
0.4,200,5,3864
0.4,200,10,3813
0.4,200,20,3845
0.4,200,50,4346
0.4,200,100,4111
0.4,200,200,3828
0.4,200,500,4582
0.4,200,1000,3829
0.4,200,2000,3950
0.4,200,5000,4231
0.4,500,4,3867
0.4,500,5,3841
0.4,500,10,3730
0.4,500,20,3831
0.4,500,50,3757
0.4,500,100,4003
0.4,500,200,4043
0.4,500,500,3661
0.4,500,1000,3796
0.4,500,2000,3853
0.4,500,5000,3726
0.4,1000,4,3708
0.4,1000,5,4318
0.4,1000,10,4186
0.4,1000,20,3863
0.4,1000,50,3791
0.4,1000,100,3958
0.4,1000,200,4010
0.4,1000,500,3756
0.4,1000,1000,4290
0.4,1000,2000,3798
0.4,1000,5000,3946
0.4,2000,4,3765
0.4,2000,5,3824
0.4,2000,10,3875
0.4,2000,20,4418
0.4,2000,50,3832
0.4,2000,100,4025
0.4,2000,200,3975
0.4,2000,500,3746
0.4,2000,1000,3842
0.4,2000,2000,3910
0.4,2000,5000,5613
0.4,5000,4,3716
0.4,5000,5,3924
0.4,5000,10,3789
0.4,5000,20,3953
0.4,5000,50,4372
0.4,5000,100,4578
0.4,5000,200,4034
0.4,5000,500,3739
0.4,5000,1000,3784
0.4,5000,2000,3927
0.4,5000,5000,4050
0.5,1,4,4153
0.5,1,5,33707
0.5,1,10,3743
0.5,1,20,4121
0.5,1,50,3826
0.5,1,100,3994
0.5,1,200,3932
0.5,1,500,4096
0.5,1,1000,3798
0.5,1,2000,4048
0.5,1,5000,4125
0.5,2,4,3735
0.5,2,5,3833
0.5,2,10,4052
0.5,2,20,3913
0.5,2,50,3840
0.5,2,100,3916
0.5,2,200,3859
